Customer ID,DOB,Age,Gender,Relationship Status,Address,Tax Resident Country,Profession,Income,KYC,Account Number,ID,Bank,Account Type,Daily Limit,Transaction Date,Transaction Number,Source Account,Destination Account,Amount,Transaction Type,Currency,Transaction Location,Suspicious Flag,Country,City
e3e70682-c209-4cac-a29f-6fbed82c07cd,1964-07-23,51,Male,Married,"H.No. 75
Kamdar, Ichalkaranji-194892",India,Insurance claims handler,203560,Verified,GB21XCVK7815659387784,e3e70682-c209-4cac-a29f-6fbed82c07cd,Atwal Inc,Fixed Deposit,427332,2024-09-20,ab0c1681-c8f8-43d0-9329-0a4cb5d32b16,GB92UATP5351393328711,GB89KQPD4841858398947,12510,Credit,INR,Ratlam,Yes,India,Ramagundam
2fcd81b5-d24b-4ce4-b07b-f3262f120554,1936-04-07,51,Male,Widowed,"H.No. 220, Zachariah Zila, Loni-833969",India,Haematologist,572449,Pending,GB73PVUW5159179533041,2fcd81b5-d24b-4ce4-b07b-f3262f120554,"Kannan, Prabhu and Garde",Current,224344,2024-05-13,2577bffa-c87a-4463-99c1-6a0d0febd845,GB97WHBS8910139916151,GB92BTAG2173008691413,9933,Debit,INR,Etawah,No,India,Bokaro
0a14b90a-7795-4986-80ee-526e0fa07a3f,1977-05-27,68,Female,Single,"H.No. 79
Jani Street
Kozhikode-584197",India,Economist,113845,Rejected,GB19PVNS8456428071508,0a14b90a-7795-4986-80ee-526e0fa07a3f,Deshmukh-Khatri,Fixed Deposit,449594,2024-10-26,ac642b4c-49b2-4ded-9c31-d9b25a2b745b,GB39LSUT2466109352337,GB90MWVS6069602714278,64366,Credit,INR,Agra,Yes,India,Anantapur
0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,1992-12-01,71,Male,Widowed,"20/665, Kala Nagar
Delhi-319344",India,"Education officer, environmental",205047,Pending,GB37PMUC0471428512400,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,Jha Ltd,Current,186141,2024-06-24,914591ae-f03d-466a-9dec-c06af24dfdd8,GB24BXWT7765823694022,GB20IKKZ5159004229456,72390,Credit,INR,Durg,Yes,India,Morena
0c5a876f-ef0a-41ed-bd5d-60bcbb0378eb,1956-05-01,84,Female,Divorced,"54
Chopra Marg
Kishanganj 755171",India,Research scientist (medical),547254,Verified,GB52BJKX2296111330601,0c5a876f-ef0a-41ed-bd5d-60bcbb0378eb,Venkataraman-Mann,Fixed Deposit,285166,2024-10-15,ade6c5e9-b6e3-45f6-95bb-440dc9cd4af9,GB32GNCL3492635110873,GB20DPMI3039213765821,78650,Credit,INR,Siliguri,No,India,Bhusawal
ade7cef3-7ed2-4c2f-856f-3d95e0ae1a1b,2000-10-20,59,Female,Widowed,"38/930
Nadkarni Path, Vadodara-492694",India,"Psychotherapist, dance movement",169582,Pending,GB89ZCQB1320407522758,ade7cef3-7ed2-4c2f-856f-3d95e0ae1a1b,Wagle-Thakkar,Savings,67625,2024-06-29,849b8a44-ce1b-402a-8b4d-18d6adb6da35,GB53YTCX6348967699300,GB26XFJQ9451744666022,31819,Debit,INR,Thanjavur,No,India,Vadodara
7de8a234-2412-479d-aaf9-44e07b38785b,1998-10-29,28,Male,Divorced,"09
Raju Chowk
Nashik-720099",India,Consulting civil engineer,760567,Rejected,GB77KDWR5367109795194,7de8a234-2412-479d-aaf9-44e07b38785b,Ram LLC,Current,441005,2024-09-30,1f1e0ee9-cf6c-4992-bbbf-f9e0ae56702a,GB62QZGB6753751007408,GB58VSSG3188684126961,14231,Debit,INR,Rajkot,No,India,Vijayanagaram
f45da406-bbf9-4b01-a7f9-e728c618fc1e,1936-02-06,75,Female,Single,"H.No. 754
Pandey Zila, Bhilai-055203",India,Medical secretary,173943,Rejected,GB87TEGA3104509322717,f45da406-bbf9-4b01-a7f9-e728c618fc1e,Kuruvilla-De,Savings,64646,2024-10-30,f5fe0213-792e-4d75-95c3-6c3d5cbbc080,GB44JJRU5291189426223,GB81KQHH2456029061126,39741,Credit,INR,Ajmer,Yes,India,Bihar Sharif
3f80c31f-15a5-412c-9ac4-b6c7a31034dd,1966-04-30,65,Female,Divorced,"06
Sastry Path
Serampore 712141",India,"Surveyor, insurance",734960,Pending,GB46WEZW7626623758257,3f80c31f-15a5-412c-9ac4-b6c7a31034dd,"Chadha, Subramanian and Jani",Savings,204522,2024-01-01,764657ca-9e65-436c-b2f7-74b1b2f11ef9,GB17AGJD4892671738640,GB45DIVB0468967145439,11675,Credit,INR,Madurai,Yes,India,Farrukhabad
87ba3b90-1e41-4c4e-9703-0ede889c8ae2,1996-08-06,38,Male,Married,"H.No. 48
Virk Street
Katihar 686447",India,Meteorologist,695835,Rejected,GB92UEFD1669728457637,87ba3b90-1e41-4c4e-9703-0ede889c8ae2,Thaker-Nadkarni,Current,308327,2024-07-23,248f4a25-4cd8-4f24-b1a8-c9c60f6ab75b,GB54XPBT3057608116050,GB47DTAI4329431675625,55774,Credit,INR,Siliguri,No,India,Siliguri
